"value","month","year","met","site.name","Site.Code","latitude","longitude"
1.79354716895298,"p01",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
2.50354678575837,"p01",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
2.5865136666731,"p01",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
2.64460868829013,"p01",1896,"vpdmax","howland","HO",45.20482,-68.74225
2.64016442463714,"p01",1896,"vpdmax","lyford","LF",42.53065,-72.18346
2.75914854143791,"p01",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
2.76621507179789,"p01",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
1.75965790771189,"p01",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
1.67111110204718,"p02",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
2.50777124905377,"p02",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
2.88882814298345,"p02",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
2.88989354368452,"p02",1896,"vpdmax","howland","HO",45.20482,-68.74225
2.92563814094228,"p02",1896,"vpdmax","lyford","LF",42.53065,-72.18346
3.00222079833761,"p02",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
3.02726513026625,"p02",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
1.71944797497036,"p02",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
2.77192492348031,"p03",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
3.43073128848951,"p03",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
3.55673609583232,"p03",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
3.76495264452224,"p03",1896,"vpdmax","howland","HO",45.20482,-68.74225
3.61502844936972,"p03",1896,"vpdmax","lyford","LF",42.53065,-72.18346
3.96008315887238,"p03",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
3.97560872380788,"p03",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
2.60071906661754,"p03",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
6.50024803577577,"p04",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
7.79638100538279,"p04",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
7.4418663925262,"p04",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
8.25237477373468,"p04",1896,"vpdmax","howland","HO",45.20482,-68.74225
7.54664493164974,"p04",1896,"vpdmax","lyford","LF",42.53065,-72.18346
8.03634945536567,"p04",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
8.1147883729829,"p04",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
5.80104973995455,"p04",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
13.3262062455008,"p05",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
15.1595091511016,"p05",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
14.3076205270684,"p05",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
15.4503694844821,"p05",1896,"vpdmax","howland","HO",45.20482,-68.74225
14.4832602081698,"p05",1896,"vpdmax","lyford","LF",42.53065,-72.18346
16.1214581431549,"p05",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
16.1895948227506,"p05",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
12.4902842870933,"p05",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
16.2677734175044,"p06",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
18.5945364051084,"p06",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
16.788010760012,"p06",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
18.9379754389583,"p06",1896,"vpdmax","howland","HO",45.20482,-68.74225
16.9452023271247,"p06",1896,"vpdmax","lyford","LF",42.53065,-72.18346
18.5978324065878,"p06",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
18.7853486669292,"p06",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
16.2350585948784,"p06",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
12.5976106468916,"p07",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
15.1953570471038,"p07",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
15.0043502551482,"p07",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
19.7373397665409,"p07",1896,"vpdmax","howland","HO",45.20482,-68.74225
15.1232185705017,"p07",1896,"vpdmax","lyford","LF",42.53065,-72.18346
16.3439842404837,"p07",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
16.5199055483701,"p07",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
12.8151919448278,"p07",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
10.9617725155807,"p08",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
14.51389576757,"p08",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
16.3751689487608,"p08",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
17.3253337693171,"p08",1896,"vpdmax","howland","HO",45.20482,-68.74225
16.5660816750117,"p08",1896,"vpdmax","lyford","LF",42.53065,-72.18346
16.2535328662185,"p08",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
16.5714945523756,"p08",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
11.6344646651427,"p08",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
9.93570721634306,"p09",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
13.3938559146606,"p09",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
14.7468540459022,"p09",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
15.7834507850931,"p09",1896,"vpdmax","howland","HO",45.20482,-68.74225
14.9392359698426,"p09",1896,"vpdmax","lyford","LF",42.53065,-72.18346
14.2088250912405,"p09",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
14.4581270488463,"p09",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
10.3134826878908,"p09",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
5.42721190899231,"p10",1896,"vpdmax","gillbrook","GB",44.12178,-73.80853
6.80062913684226,"p10",1896,"vpdmax","goose_egg","GE",43.072,-73.28997
6.46917061752067,"p10",1896,"vpdmax","harvard_tower","HF",42.53928,-72.17614
8.04818834135722,"p10",1896,"vpdmax","howland","HO",45.20482,-68.74225
6.56175777141551,"p10",1896,"vpdmax","lyford","LF",42.53065,-72.18346
7.00593376786519,"p10",1896,"vpdmax","north_round_pond","NR",42.84514,-72.4473
7.07140261293864,"p10",1896,"vpdmax","pisgah","PS",42.8288,-72.43908
4.8144962116726,"p10",1896,"vpdmax","rooster_hill","RH",43.23138,-74.52254
