"Site.Name","Year","pJan","pFeb","pMar","pApr","pMay","pJun","pJul","pAug","pSep","pOct","pNov","pDec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","grow.seas","pfall","winter","spring","summer"
"Austin Cary FL",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7982992391487,15.6929152312683,24.1937833511014,25.7277514468409,29.8442103504057,33.1952621115553,32.9148982731928,32.9718677932896,30.8366171009478,26.695441943571,22.161296327758,18.5108710498106,31.9525711258782,NA,NA,26.588581716116,33.0273427260126
"Duke Hardwood",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55260884778515,4.95889710141309,14.8452670964394,20.0129330481669,24.0404527322223,31.2691716410013,30.3650227101968,31.0405991706146,31.2423649783178,20.8530299676433,15.8674544419503,11.2666441713909,29.5915222464706,NA,NA,19.6328842922762,30.8915978406042
"Duke Loblolly",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55635119355815,4.95827868664248,14.8520031043438,20.0131593994705,24.042209573739,31.2712964264182,30.3643650361874,31.0399263480066,31.2387138850974,20.8515754889921,15.8775193281737,11.2768418337147,29.5913022538897,NA,NA,19.6357906925178,30.8918626035374
"Florida Plantation",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8434126005023,15.6791803011622,24.2363590022457,25.8226306212668,29.8654059142548,33.0170341576851,32.7461985334901,32.8402551863229,30.7328950061908,26.6460128665244,22.1984182627165,18.4832827204904,31.8403577595887,NA,NA,26.6414651792558,32.8678292924994
"Harvard",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.58177586965913,-2.09775510043287,2.36198655584441,11.4031191454779,20.6441697725493,25.1615482009793,24.0423295985923,25.3029423379943,22.6328504538595,11.1583009274284,7.93792824806799,2.72302746288098,23.5567680727949,NA,NA,11.4697584912905,24.8356067125219
"Howland",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75685370993064,-2.97461528687946,1.76620552961304,11.6587585186644,20.6648579143837,25.4651603226377,25.9614030839147,24.98103075826,22.4937612470879,11.9422802264229,7.80319032357792,1.50572711001337,23.9132426652568,NA,NA,11.3632739875537,25.4691980549375
"Michigan AmerifluxTower",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.94558071395331,-5.97990723733011,-0.855168223146857,11.8166265721498,20.0094826007967,26.4924111096869,25.8344063474171,24.586494544693,22.3458461844082,10.3173806421906,4.31112827741798,0.198236187736135,23.8537281574004,NA,NA,10.3236469832665,25.6377706672657
"Michigan Facet Site",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.96013401894596,-6.00201089231829,-0.869786666221318,11.8198291215631,20.0132930648727,26.5094424045973,25.8363723296322,24.5935817656989,22.346201741916,10.314986726392,4.31260517250103,0.220296566119232,23.8597782613434,NA,NA,10.3211118400715,25.6464654999761
"Missouri Ozark",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20919408953505,1.47220148853161,13.2960528754725,22.3482396848224,25.3964401092603,29.737192735327,29.2813504727023,30.4883214602223,29.3747663683144,19.6076838554214,11.7236301015161,6.52214234993601,28.8556142291653,NA,NA,20.3469108898517,29.8356215560839
"Morgan Monroe State Park",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214270753097364,-0.590362710093607,9.89132187907597,18.6468816814256,23.8345352243575,30.2620446695052,28.9863128273803,31.3739083616669,27.6949891060403,15.770742361828,10.4643308421096,5.40772032179036,28.43035803779,NA,NA,17.457579594953,30.2074219528508
